Deity,Temple Name,Moolavar,Urchavar,Amman / Thayar,Thala Virutcham,Theertham,Agamam / Pooja,Old year,Historical Name,City,District,State,Festival,  Temple's Speciality,Opening Time,Address,Phone Number
274 Sivalayam,sri Alandurayar (Vadamoolanathar) temple,Alandurayar (Vadamoolanathar),NA,Arundavanayaki,Banyan tree,"Brahmma, Parasurama theertham",Sivagama,1000 2000 years old,Thirupaluvur,Kilapazhuvur,Ariyalur,Tamil Nadu,Panguni uthiram,"A fragrant oil (Sambirani thailam) is applied on the Shivalinga. As the Shivalinga is too small, a cup is placed upside down to facilitate darshan. Abishek is performed to this cup only. The place is also considered the holy place where sage Parasurama worshipped Lord Shiva to repent for his sin of killing his own mother. The tank he created here is known as Parasurama tank. People pray here for union with their separated life partners and release from serious sins. As a custom, Gajalakshmi may be seen in the west entrance of Shiva temples. In the Alandurayar temple, Parasurama is seen in a lying form.",The temple is opened from 6.00 a.m. to 12.00 a.m. and 4.30 p.m. to 8.30 p.m.,"Sri Alandurayar (Vadamoolanathar) Temple, Kilapazhuvur, Ariyalur.",+91  99438 82368
Amman,sri Ashtalakshmi temple,Lord Mahavishnu with Mother Mahalaksmi,NA,"Adhi Lakshmi, Dhanya Lakshmi, Dhairya Lakshmi, Gaja Lakshmi, Santhana Lakshmi, Vijaya Lakshmi, Vidya Lakshmi, Dhanalakshmi",Vilwa,Samudra Pushkarini (Bay of Bengal),NA,500 years old,NA,Beasant Nagar,Chennai,Tamil Nadu,"10 day Purattasi Navarathri festival is celebrated with 10 different Alankaras (dressings) to Lord and Mothr in a very grand style drawing huge crowd of devotees. Deepavali Lakshmi Puja, special pujas during Thai Fridays in January February, Aadi Fridays in July August are performed in the temple.",The temple is constructed with Ashtanga Vimana in the tower in the Omkara design. The shadow of the tower does not fall on the ground. The design is similar to the Big Temple in Thanjavur.,The temple is open from 6.00 a.m. to 11.00 a.m. and from 5.00 p.m. to 8.00 p.m.,"Sri Ashtalakshmi Temple, Beasant Nagar, Chennai.","+91  44 2446 6777, 2491 7777, 2491 1763"
Murugan,sri Kantha swamy temple,Kantha swamy,Muthu kumarar,"Valli, theivanai",Makilam,Saravana poigai,kumara thantiram,500 1000 years old,NA,Kantha kottam,Chennai,Tamil Nadu,"Kantha sasti, vakasi vasantha urchavam, banguni utiram festivals are celeprated in this temple.",NA,The temple is opened from 6.00 a.m. to 12.00 a.m. and 4.00 p.m. to 9.00 p.m.,"Sri Kantha swamy temple, Kantha kottam, Chennai",+91  44  2535 2192
274 Sivalayam,sri Tiruvalleswarar temple,"Tiruvalleswarar, Tiruvalitham Udaya Nayanar",NA,Jagadambika,"Padiri, Kondrai",Bharadwaj Theertham,Kameekam,1000 2000 years old,Tiruvalithayam,"Padi, Tiruvalithayam",Chennai,Tamil Nadu,"Chithirai Brahmmotsavam in April May, Thai Kruthikai in January February and Jupiter(Guru) transit days",Presiding deity is a swayambumurthy. The vimana – tower above the sanctum sanctorum is of Gajabrushta design – as the back end of an elephant.,The temple is open from 6.30 a.m. to 12.00 a.m. and from 4.30 p.m. to 8.30 p.m.,"Sri Tiruvalleswarar Temple, Padi, Chennai.",+91   44   2654 0706
274 Sivalayam,sri Marundeeswarar temple,Marundeeswarar,Thyagarajar,Tiripurasundari,Vanni,Pancha Theertham,Kameekam,1000 2000 years old,Tiru Vanmikiyur,Tiruvanmiyur,Chennai,Tamil Nadu,"Panguni Brahmmotsavam in March  April, Shivrathri in February March, Vinayaka Chaturti, Skanda Sashti in October November, full moon days Kruthika star days.",The Vimana (tower above the sanctum sanctorum) of the presiding deity is of Chaturvastam design.,The temple is open from 6.00 a.m. to 12.00 a.m. and from 4.00 p.m. to 9.00 p.m.,"Sri Marundeeswarar Temple, Tiruvanmiyur, Chennai.",+91   44   2441 0477.
274 Sivalayam,sri Masilamani Easwarar temple,Masilamani Easwarar,NA,Kodi Idai Nayaki,Jasmine,Agni Theertham,Sivagamam,1000 2000 years old,Vada Tirumullaivayil,Vada Tirumullaivayil,Chennai,Tamil Nadu,"Vaikasi Brahmmotsavam in May June, Masi Float Festival in February March and Aani Vasantha Utsav in June July are the festivals celebrated in the temple.","There is a scar on the head of the Swayambulinga in the temple. As if to heal the wound, sandal paste is applied on the Linga throughout the year except two days in the month of Chithirai (April May) covering the Sadayam star day. Lord appears in His true form these days. Worshipping Lord Shiva in this form during these days would relieve the devotee of all sins, it is firmly believed. As no abishek is performed to the Linga, A Padarasa Linga (Mercury Linga) is placed in a separate shrine for Pujas. The Vimana (tower above the sanctum sanctorum) is of Gajabrushta – back side of an elephant – design.",The temple is open from 6.30 a.m. to 12.00 a.m. and from 4.00 a.m. to 8.00 p.m.,"Sri Masilamani Easwarar Temple, North Tirumullaivayil, Chennai.",+91 44  2637 6151
Murugan,sri Vadapalani Andavar temple,Vadapalani Andavar,NA,"Valli, Theivanai",Athi tree,The tank in the temple – Tirukulam,Sivagamam,500 years old,NA,Vadapalani,Chennai,Tamil Nadu,"Chithirai Tamil New Year Day falling almost on April 14, a day before or after occasionally, Chithirai Poornima full moon day in April May, 11 day procession festival in connection with Vaikasi Visakam in May June, also in the months of Aani, Aadi and Avani Tamil months covering June to September, 6 day Aipasi Skanda Sashti in October November, Panguni Kruthika Laksharchana in March April with 3 day float festival are grandly celebrated in the temple.","Lord Muruga graces with His Padukas chappals. As Lord Muruga is the deity for planet Mars, there is a special shrine for the planet in the temple. There is a golden car (rath) for the temple.",The temple is open from 6.00 a.m. to 12.00 a.m. and from 4.00 p.m. to 9.00 p.m.,"Sri Vadapalani Andavar Temple, Vadapalani, Chennai.","+91 44   2483 6903, 2480 2330"
Amman,sri Devi Karumariamman temple,Devi Karumariamman,NA,NA,Karuvela tree,Velayudha theertham,Kameekam,500 1000 years old,Velangadu,Tiruverkadu,Tiruvallur,Tamil Nadu,"Aipasi Annabishek is performed to Mother Devi Karumariamman in October November. Aadi Festival in July August is very famous. Maximum duration of festivals goes up to 15 days. Rarely in some Shakti temples, festivals run upto 48 days also. In this temple, the festival that begins in the month of Aadi (July August) continues for 12 weeks ending with Purattasi month September October. On Sundays, abishek is performed with 108 pots of milk followed by procession. On the 9th Sunday, Mother Devi Karumariamman is taken in procession in a palanquin decorated with flowers. On Masi Magam day in February March, Amman is taken to Bay of Bengal for sea bath. Other festivals include Thai Brahmmotsavam in January February, Chitra Poornima in April May, Vaikasi Visakam in May June, big festivals in Aadi (July August) Navarathri in September October, Skanda Sashti in October November and Panguni Uthiram in March April.","There is a shrine for Karumariamman with an idol made of wood. Devotees call Her wooden idol Amman – Marachilai Amman. Devotees believe that this Ambica would ensure all security to their houses and families. With this prayer in mind, people use to worship Her with a lock near the hundi.",The temple is open from 5.00 a.m. to 9.00 p.m. without any break.,"Sri Devi Karumariamman Temple, Tiruverkadu, Tiruvallur Dist.","+91 44 2680 0430, 2680 0487, 2680 1686."
Murugan,sri Dandayuthapani (Kuzhandai Valayuthar) temple,Tiru Aavinankudi Kuzhandai Velayuthar,NA,NA,Gooseberry,Shanmugha River,Sivagamam,1000 2000 years old,Tiru Aavinan Kudi,Palani,Dindigul,Tamil Nadu,"Vaikasi Visakam in May June, Aipasi Skanda Sashti in October November, Tirukarthikai in November December, Thaipoosam in January February and Panguni Uthiram in March April are the festivals celebrated in the temple.",The presiding deity Lord Muruga’s idol is made of nine precious herbals known as Navapashana and installed by a Holy Siddha named Bogar. The procession deity is Muthukumaraswami. This is the third of the six Army Camps (Padai Veedu) of Lord Muruga. The Kavadi prayer practice began from this temple only.,"Tiru Aavinan Kudi, hill temple and Perianayaki Temple – all the three temples are open from 6.00 a.m. to 9.00 p.m. without any break.","Sri Dandayuthapani(Kuzhandai Valayuthar) Temple, Palani  624 601, Dindigul Dist.","+91 4545   242 293, 242 236, 242 493."
Amman,sri Kamakshi Amman temple,Kamakshi Amman,NA,NA,Shenbagam,Pancha Ganga,NA,2000 3000 years old,NA,Kancheepuram,Kanchipuram,Tamil Nadu,NA,NA,NA,"Sri Kamakshi Amman Temple, Kancheepuram – 631 501.",+91   44 2722 2609
